id,name,description,tags,input_schema,output_schema
10,PageScrapperPiece,"Scrapes text from a web page, given a URL and a list of HTML tags.","[""default"", ""scrapper""]","{""$defs"":{""ItemType"":{""properties"":{""class_name"":{""default"":"""",""description"":""HTML tag class name."",""title"":""Class Name"",""type"":""string""},""tag"":{""default"":""p"",""description"":""HTML tag name."",""title"":""Tag"",""type"":""string""}},""title"":""ItemType"",""type"":""object""}},""description"":""PageScrapperPiece Input Model"",""properties"":{""search_items"":{""default"":[{""class_name"":"""",""tag"":""p""}],""description"":""List of HTML tags and class names to search for."",""items"":{""$ref"":""#/$defs/ItemType""},""title"":""Search Items"",""type"":""array""},""url"":{""default"":"""",""description"":""URL to retrieve content from."",""title"":""Url"",""type"":""string""}},""title"":""PageScrapperPiece"",""type"":""object""}","{""description"":""PageScrapperPiece Output Model"",""properties"":{""scrapped_text"":{""description"":""Scrapped text from the URL."",""title"":""Scrapped Text"",""type"":""string""}},""required"":[""scrapped_text""],""title"":""OutputModel"",""type"":""object""}"
11,SleepPiece,A Piece that sleeps for a given number of seconds.,"[""default"", ""sleep""]","{""description"":""Sleep Piece Input Model"",""properties"":{""sleep_time"":{""default"":1,""description"":""Number of seconds to sleep"",""title"":""Sleep Time"",""type"":""number""}},""title"":""SleepPiece"",""type"":""object""}","{""description"":""Sleep Piece Output Model"",""properties"":{""message"":{""description"":""Sleep piece executed"",""title"":""Message"",""type"":""string""}},""required"":[""message""],""title"":""OutputModel"",""type"":""object""}"
12,StringOperationsPiece,A Piece that performs string operations,"[""default"", ""string""]","{""$defs"":{""OperationItem"":{""properties"":{""auxiliary_argument"":{""default"":"""",""description"":""Auxiliary argument for `split_by` and `replace_by` operations.\nIf `split_by` is selected, this argument will be used as the index of the split array.\nIf `replace_by` is selected, this argument will be used as the string to replace.\n"",""title"":""Auxiliary Argument"",""type"":""string""},""operation"":{""allOf"":[{""$ref"":""#/$defs/OperationsTypes""}],""description"":""Operation to perform. Options: `concatenate`, `lower_case`, `upper_case`, `split_by`, `replace_by`."",""from_upstream"":""never""},""second_argument"":{""default"":"""",""description"":""Value for the second argument."",""title"":""Second Argument"",""type"":""string""}},""required"":[""operation""],""title"":""OperationItem"",""type"":""object""},""OperationsTypes"":{""enum"":[""concatenate"",""lower_case"",""upper_case"",""split_by"",""replace_by"",""strip_spaces""],""title"":""OperationsTypes"",""type"":""string""}},""properties"":{""first_argument"":{""description"":""Value for the first argument."",""title"":""First Argument"",""type"":""string""},""operations"":{""description"":""Sequence of operations to perform."",""items"":{""$ref"":""#/$defs/OperationItem""},""title"":""Operations"",""type"":""array""}},""required"":[""first_argument"",""operations""],""title"":""StringOperationsPiece"",""type"":""object""}","{""properties"":{""output_string"":{""description"":""Output string."",""title"":""Output String"",""type"":""string""}},""required"":[""output_string""],""title"":""OutputModel"",""type"":""object""}"
13,ToyDatasetsPiece,Load toy datasets from scikit-learn,"[""default"", ""datasets""]","{""$defs"":{""DatasetName"":{""enum"":[""iris"",""diabetes"",""digits"",""wine"",""breast_cancer"",""linnerrud""],""title"":""DatasetName"",""type"":""string""}},""properties"":{""dataset"":{""allOf"":[{""$ref"":""#/$defs/DatasetName""}],""default"":""iris"",""title"":""Dataset name""}},""title"":""ToyDatasetsPiece"",""type"":""object""}","{""properties"":{""file_path"":{""anyOf"":[{""type"":""string""},{""type"":""null""}],""default"":null,""title"":""File path""}},""title"":""OutputModel"",""type"":""object""}"
14,ToStringPiece,A Piece that transforms any input to string.,"[""default"", ""string""]","{""description"":""ToStringPiece Input Model"",""properties"":{""input_value"":{""anyOf"":[{""type"":""string""},{""items"":{},""type"":""array""},{""type"":""integer""},{""type"":""number""},{""type"":""boolean""},{""type"":""object""},{""format"":""date"",""type"":""string""},{""format"":""time"",""type"":""string""},{""format"":""date-time"",""type"":""string""}],""description"":""Input value to be turned into string."",""from_upstream"":""always"",""title"":""Input Value""}},""required"":[""input_value""],""title"":""ToStringPiece"",""type"":""object""}","{""description"":""ToStringPiece Output Model"",""properties"":{""output_value"":{""description"":""Input value as a string."",""title"":""Output Value"",""type"":""string""}},""required"":[""output_value""],""title"":""OutputModel"",""type"":""object""}"
15,LoremIpsumGeneratorPiece,A Piece that generates Lorem Ipsum text.,"[""default"", ""text""]","{""$defs"":{""ItemsType"":{""enum"":[""words"",""sentences"",""paragraphs""],""title"":""ItemsType"",""type"":""string""}},""description"":""LoremIpsumGeneratorPiece Input Model"",""properties"":{""items"":{""allOf"":[{""$ref"":""#/$defs/ItemsType""}],""default"":""words"",""description"":""Type of items to generate.""},""number_of_items"":{""default"":1,""description"":""Number of items to generate."",""title"":""Number Of Items"",""type"":""integer""}},""title"":""LoremIpsumGeneratorPiece"",""type"":""object""}","{""description"":""LoremIpsumGeneratorPiece Output Model"",""properties"":{""output_text"":{""description"":""Generated text."",""title"":""Output Text"",""type"":""string""}},""required"":[""output_text""],""title"":""OutputModel"",""type"":""object""}"
157,SaveImagePiece,Save base64 as image file to results folder.,"[""default"", ""image""]","{""properties"":{""base64_data"":{""description"":""Input data to be saved as image."",""title"":""Base64 Data"",""type"":""string""}},""required"":[""base64_data""],""title"":""SaveImagePiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Output file path of the saved image."",""title"":""Output Image Path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
16,GetItemFromArrayPiece,Get one item from an input array.,"[""default"", ""array""]","{""$defs"":{""IndexType"":{""enum"":[""first"",""last"",""random"",""another""],""title"":""IndexType"",""type"":""string""}},""description"":""GetItemFromArrayPiece Input Model"",""properties"":{""another_index"":{""default"":1,""description"":""Index number of item to get from input array."",""minimum"":1,""title"":""Another Index"",""type"":""integer""},""index"":{""allOf"":[{""$ref"":""#/$defs/IndexType""}],""default"":""first"",""description"":""Index of item to get from input array.""},""input_array"":{""description"":""Input array to get item from."",""from_upstream"":""always"",""items"":{},""title"":""Input Array"",""type"":""array""}},""required"":[""input_array""],""title"":""GetItemFromArrayPiece"",""type"":""object""}","{""description"":""GetItemFromArrayPiece Output Model"",""properties"":{""output_value"":{""anyOf"":[{""type"":""string""},{""items"":{},""type"":""array""},{""type"":""integer""},{""type"":""number""},{""type"":""boolean""},{""type"":""object""},{""format"":""date"",""type"":""string""},{""format"":""time"",""type"":""string""},{""format"":""date-time"",""type"":""string""}],""description"":""Item from input array at specified index."",""title"":""Output Value""}},""required"":[""output_value""],""title"":""OutputModel"",""type"":""object""}"
17,HttpRequestPiece,Makes a HTTP request to a given URL.,"[""default"", ""http"", ""request""]","{""$defs"":{""MethodTypes"":{""enum"":[""GET"",""POST"",""PUT"",""DELETE""],""title"":""MethodTypes"",""type"":""string""}},""properties"":{""bearer_token"":{""default"":null,""description"":""Bearer token to use for authentication."",""title"":""Bearer Token"",""type"":""string""},""body_json_data"":{""default"":""{\n    \""key_1\"": \""value_1\"",\n    \""key_2\"": \""value_2\""\n}\n"",""description"":""JSON data to send in the request body."",""title"":""Body Json Data"",""type"":""string"",""widget"":""codeeditor-json""},""method"":{""allOf"":[{""$ref"":""#/$defs/MethodTypes""}],""default"":""GET"",""description"":""HTTP method to use.""},""url"":{""description"":""URL to make a request to."",""title"":""Url"",""type"":""string""}},""required"":[""url""],""title"":""HttpRequestPiece"",""type"":""object""}","{""properties"":{""base64_bytes_data"":{""description"":""Output data as base64 encoded string."",""title"":""Base64 Bytes Data"",""type"":""string""}},""required"":[""base64_bytes_data""],""title"":""OutputModel"",""type"":""object""}"
18,AWSS3StoragePiece,AWS s3 Storage Default Piece,"[""""]","{""properties"":{""base_folder"":{""default"":"""",""title"":""Base Folder"",""type"":""string""},""bucket"":{""default"":"""",""title"":""Bucket"",""type"":""string""}},""title"":""InputModel"",""type"":""object""}",{}
19,SaveImagePiece,Save base64 as image file to results folder.,"[""default"", ""image""]","{""properties"":{""base64_data"":{""description"":""Input data to be saved as image."",""title"":""Base64 Data"",""type"":""string""}},""required"":[""base64_data""],""title"":""SaveImagePiece"",""type"":""object""}","{""properties"":{""output_image_path"":{""description"":""Output file path of the saved image."",""title"":""Output Image Path"",""type"":""string""}},""required"":[""output_image_path""],""title"":""OutputModel"",""type"":""object""}"
20,GetDateTimePiece,A Piece that gets system's current date and time.,"[""default"", ""datetime""]","{""$defs"":{""TZOptions"":{""enum"":[""(UTC-11) - Pacific/Pago_Pago"",""(UTC-10) - US/Hawaii"",""(UTC-09) - Pacific/Gambier"",""(UTC-08) - US/Alaska"",""(UTC-07) - US/Pacific"",""(UTC-06) - US/Mountain"",""(UTC-05) - US/Central"",""(UTC-04) - US/Eastern"",""(UTC-03) - Canada/Atlantic"",""(UTC-02) - Atlantic/South_Georgia"",""(UTC-01) - Atlantic/Cape_Verde"",""(UTC+00) - UTC"",""(UTC+01) - Europe/London"",""(UTC+02) - Europe/Zurich"",""(UTC+03) - Indian/Mayotte"",""(UTC+04) - Asia/Tehran"",""(UTC+05) - Asia/Kathmandu"",""(UTC+06) - Indian/Cocos"",""(UTC+07) - Indian/Christmas"",""(UTC+08) - Australia/Eucla"",""(UTC+09) - Australia/Darwin"",""(UTC+10) - Australia/Lord_Howe"",""(UTC+11) - Pacific/Pohnpei"",""(UTC+12) - Pacific/Chatham"",""(UTC+13) - Pacific/Tongatapu"",""(UTC+14) - Pacific/Kiritimati""],""title"":""TZOptions"",""type"":""string""}},""description"":""GetDateTimePiece Input Model"",""properties"":{""timezone"":{""allOf"":[{""$ref"":""#/$defs/TZOptions""}],""default"":""(UTC+00) - UTC"",""description"":""Timezone to use for timestamp.""},""use_timezone"":{""default"":false,""description"":""Whether to use a timezone for the timestamp."",""title"":""Use Timezone"",""type"":""boolean""}},""title"":""GetDateTimePiece"",""type"":""object""}","{""description"":""GetDateTimePiece Output Model"",""properties"":{""date"":{""description"":""Date of the timestamp, in ISO format."",""format"":""date"",""title"":""Date"",""type"":""string""},""datetime"":{""description"":""Datetime of the timestamp, in ISO format."",""format"":""date-time"",""title"":""Datetime"",""type"":""string""},""time"":{""description"":""Time of the timestamp, in ISO format."",""format"":""time"",""title"":""Time"",""type"":""string""}},""required"":[""date"",""time"",""datetime""],""title"":""OutputModel"",""type"":""object""}"
21,CustomPythonPiece,Executes user-defined Python code.,"[""default"", ""python""]","{""$defs"":{""InputKwargsModel"":{""properties"":{""kwarg_name"":{""default"":null,""description"":""Argument name."",""from_upstream"":""never"",""title"":""Kwarg Name"",""type"":""string""},""kwarg_value"":{""anyOf"":[{""type"":""string""},{""items"":{},""type"":""array""},{""type"":""integer""},{""type"":""number""},{""type"":""boolean""},{""type"":""object""},{""format"":""date"",""type"":""string""},{""format"":""time"",""type"":""string""},{""format"":""date-time"",""type"":""string""}],""default"":null,""description"":""Argument value."",""from_upstream"":""always"",""title"":""Kwarg Value""}},""title"":""InputKwargsModel"",""type"":""object""},""OutputModifierItemType"":{""description"":""OutputArgsType Enum"",""enum"":[""string"",""integer"",""float"",""boolean"",""array""],""title"":""OutputModifierItemType"",""type"":""string""},""OutputModifierModel"":{""properties"":{""description"":{""default"":"""",""description"":""Description of the output argument."",""from_upstream"":""never"",""title"":""Description"",""type"":""string""},""name"":{""description"":""Name of the output argument."",""from_upstream"":""never"",""title"":""Name"",""type"":""string""},""type"":{""allOf"":[{""$ref"":""#/$defs/OutputModifierItemType""}],""default"":""string"",""description"":""Type of the output argument."",""from_upstream"":""never""}},""required"":[""name""],""title"":""OutputModifierModel"",""type"":""object""}},""description"":""CustomPythonPiece Input Model"",""properties"":{""input_args"":{""default"":[{""kwarg_name"":""kwarg_2"",""kwarg_value"":""""},{""kwarg_name"":""kwarg_1"",""kwarg_value"":""""}],""description"":""Input arguments."",""from_upstream"":""never"",""items"":{""$ref"":""#/$defs/InputKwargsModel""},""title"":""Input Args"",""type"":""array""},""output_args"":{""default"":[{""description"":""An example string output"",""name"":""output_1"",""type"":""string""},{""description"":""An example integer output"",""name"":""output_2"",""type"":""integer""}],""description"":""Output arguments."",""from_upstream"":""never"",""items"":{""$ref"":""#/$defs/OutputModifierModel""},""title"":""Output Args"",""type"":""array""},""script"":{""default"":""# Do not modify the function definition line\ndef custom_function(kwarg_1, kwarg_2):\n    # Write your code here\n    print(f\""First argument: {kwarg_1}\"")\n    print(f\""Second argument: {kwarg_2}\"")\n\n    # Return the output of the function as an object,\n    # Matching the Output Args defined in the Form below\n    return {\n        \""output_1\"": \""this is a string\"",\n        \""output_2\"": 420\n    }\n"",""description"":""Python script."",""from_upstream"":""never"",""title"":""Script"",""type"":""string"",""widget"":""codeeditor-python""}},""title"":""CustomPythonPiece"",""type"":""object""}","{""additionalProperties"":true,""description"":""CustomPythonPiece Output Model"",""properties"":{},""title"":""OutputModel"",""type"":""object""}"
